userName,content,score,at,sentiment,clean_text
Abdalrhman Refaat,good,5,2025-07-27 14:24:14,positive,
Ahmed Gawad,ممتاز جداً,5,2025-07-27 14:21:22,positive,ممتاز جدا
Anwar Jadalmola,تطبيق ممتاز وخدمات ممتازه10/10,5,2025-07-27 14:13:24,positive,ممتاز وخدمات ممتازه
hazem ashry,ممتازة,5,2025-07-27 14:11:41,positive,ممتازه
Mohamed Amr,ممتاز,5,2025-07-27 14:09:17,positive,ممتاز
Alyassa Beshsha,تطبيق حلو وجميل,5,2025-07-27 14:06:44,positive,حلو وجميل
علاء الدين علي,شكرا على تقديمكم المواصفات الامنه وحفظكم على الامان في كل بلاد العالم,5,2025-07-27 14:00:24,positive,شكرا تقديمكم المواصفات الامنه وحفظكم الامان بلاد العالم
عمر محمد,ممتازه,5,2025-07-27 13:48:29,positive,ممتازه
بدون اسم لا يوجد,تطبيق غير امن نهاءيا.تحصل السايق علي مبلغ اكبر ولم تم اضافته الي حسابي طلبت المساعده من الدعم لم يقدم الدعم اي شيء بل طلبوا مني تغيير وسيله الدفع...ارجو ممن يواجهون مشاكل مع التطبيق رفع شكاوي للجهات المسؤوله لاغلاقه,1,2025-07-27 13:24:04,negative,امن نهاءيا تحصل السايق مبلغ اكبر ولم تم اضافته الي حسابي طلبت المساعده الدعم يقدم الدعم اي شيء طلبوا مني تغيير وسيله الدفع ارجو يواجهون مشاكل التطبيق رفع شكاوي للجهات المسءوله لاغلاقه
چوه أبو إدريس,السأقين حراميه,5,2025-07-27 13:20:21,positive,الساقين حراميه
Mohmmed saber,أسعار مبالغ فيه اوووى للرحلات,2,2025-07-27 13:18:27,negative,اسعار مبالغ اوووي للرحلات
Reemr Kald,ممتاز,5,2025-07-27 13:10:43,positive,ممتاز
محمد العبار,جميل,5,2025-07-27 13:04:21,positive,جميل
عمر عمر عبد الهادي,رائع,5,2025-07-27 12:40:23,positive,رائع
Mohamed Said,اخر سائق شاب محترم صاحب السيارة اريزو محمد ٨٥٦٥ لكن أنا أعتذر ت له لأنى تخوفت من التاءخيرات السابقة,5,2025-07-27 12:15:54,positive,اخر سائق شاب محترم صاحب السياره اريزو محمد اعتذر لاني تخوفت التاءخيرات السابقه
Abu talea,برنامج زي الزفت,1,2025-07-27 12:13:05,negative,زي الزفت
soaad rashad,فيه سواق مش محترم عاوزه اقدم فيه شكوي رسمي للشركه ياريت تتواصلوا معايا ضروري,1,2025-07-27 11:35:07,negative,سواق مش محترم عاوزه اقدم شكوي رسمي للشركه ياريت تتواصلوا معايا ضروري
ramadanahmedr188 ramadanahmedr188,ممتازه جدا,5,2025-07-27 11:11:16,positive,ممتازه جدا
ali alshebeli,را ئعه,5,2025-07-27 10:59:16,positive,را ئعه
Malek Ahmed,سي جدا وعدم احترام مواعيد وتقدير ناس وظروفها,1,2025-07-27 10:04:05,negative,سي جدا وعدم احترام مواعيد وتقدير ناس وظروفها
عادل عرفه,جيدة,5,2025-07-27 09:46:54,positive,جيده
يحيى البركاوى,تجربه جميله جدأ,5,2025-07-27 09:41:27,positive,تجربه جميله جدا
محمد على,يعني علشان اروح مشوار ساعة زمن انتظر سعتين,1,2025-07-27 09:13:36,negative,يعني علشان اروح مشوار ساعه زمن انتظر سعتين
osama almansoury,ممتازين بصراحه ناس محترمه ....,5,2025-07-27 08:48:23,positive,ممتازين بصراحه ناس محترمه
Mohammed S.K. Abdulh,ممتاز,4,2025-07-27 08:17:56,positive,ممتاز
Mohamed Elgamal,اداء سي,3,2025-07-27 08:07:35,neutral,اداء سي
Awat Mahm,ممتاز,5,2025-07-27 08:05:47,positive,ممتاز
Adham Obedie,Gut danke schön,5,2025-07-27 08:02:53,positive,
Motaz Ahmed,اصبح تطبيق اوبر فى مقدمه جميه التطبيقات المشابهه له لقد اصبح بالفعل تطبيق فى منتهى الروعه من حيث المصداقيه والأسعار,5,2025-07-27 07:58:03,positive,اصبح اوبر مقدمه جميه التطبيقات المشابهه لقد اصبح بالفعل منتهي الروعه المصداقيه والاسعار
Felex Mh,للاسف التطبيق بقى اقل من المتوقع كباتن كتير سيئين للغاية مفيش تكييف مفيش رحلات كريديت الا النسبة القليلة المحترمة الملتزمة بتعليمات وشروط اوبر,1,2025-07-27 07:53:08,negative,للاسف التطبيق بقي اقل المتوقع كباتن كتير سيئين للغايه مفيش تكييف مفيش رحلات كريديت الا النسبه القليله المحترمه الملتزمه بتعليمات وشروط اوبر
shosh shosh,ممتاز,5,2025-07-27 07:33:08,positive,ممتاز
ام مهند الاودن,نرجو اضافة سيارات كبيرة للتوصيل للمطار و اختيار الركاب بما يناسبه,4,2025-07-27 07:11:36,positive,نرجو اضافه سيارات كبيره للتوصيل للمطار اختيار الركاب يناسبه
لول لول,التطبيق ممتاز واااضح سهل الاستخدام,5,2025-07-27 07:05:10,positive,التطبيق ممتاز واااضح سهل الاستخدام
Roka Sadek,ممتاز,5,2025-07-27 06:46:42,positive,ممتاز
Samira Shehata,ممتاز جدا,5,2025-07-27 06:27:29,positive,ممتاز جدا
محمد جوحلي,قياده ممتازه وجوده كويسه,5,2025-07-27 06:09:24,positive,قياده ممتازه وجوده كويسه
Eslam Mekky,السائقون دائما يقوموا بالالغاء بعد قبول الطلب,1,2025-07-27 05:52:36,negative,السائقون دائما يقوموا بالالغاء قبول الطلب
Khaled Al-attar,ممتاز جدا,5,2025-07-27 05:52:31,positive,ممتاز جدا
Elsayed Abdel Azim,خدمات ممتازة وبرنامج اكثر من رائع,5,2025-07-27 04:20:48,positive,خدمات ممتازه وبرنامج اكثر رائع
Ali 29,حجزت اوبر وكان مكتوب سعره ب 10 ريال يوم وصلت غيرو السعر وصار 13,1,2025-07-27 04:17:10,negative,حجزت اوبر وكان مكتوب سعره يوم وصلت غيرو السعر وصار
ali mohmed,مواعيد دقيقة,4,2025-07-27 04:16:09,positive,مواعيد دقيقه
