userName,content,score,at
Abdalrhman Refaat,good,5,2025-07-27 14:24:14
Ahmed Gawad,ممتاز جداً,5,2025-07-27 14:21:22
Anwar Jadalmola,تطبيق ممتاز وخدمات ممتازه10/10,5,2025-07-27 14:13:24
hazem ashry,ممتازة,5,2025-07-27 14:11:41
Mohamed Amr,ممتاز,5,2025-07-27 14:09:17
Alyassa Beshsha,تطبيق حلو وجميل,5,2025-07-27 14:06:44
علاء الدين علي,شكرا على تقديمكم المواصفات الامنه وحفظكم على الامان في كل بلاد العالم,5,2025-07-27 14:00:24
عمر محمد,ممتازه,5,2025-07-27 13:48:29
بدون اسم لا يوجد,تطبيق غير امن نهاءيا.تحصل السايق علي مبلغ اكبر ولم تم اضافته الي حسابي طلبت المساعده من الدعم لم يقدم الدعم اي شيء بل طلبوا مني تغيير وسيله الدفع...ارجو ممن يواجهون مشاكل مع التطبيق رفع شكاوي للجهات المسؤوله لاغلاقه,1,2025-07-27 13:24:04
چوه أبو إدريس,السأقين حراميه,5,2025-07-27 13:20:21
Mohmmed saber,أسعار مبالغ فيه اوووى للرحلات,2,2025-07-27 13:18:27
Reemr Kald,ممتاز,5,2025-07-27 13:10:43
محمد العبار,جميل,5,2025-07-27 13:04:21
عمر عمر عبد الهادي,رائع,5,2025-07-27 12:40:23
Mohamed Said,اخر سائق شاب محترم صاحب السيارة اريزو محمد ٨٥٦٥ لكن أنا أعتذر ت له لأنى تخوفت من التاءخيرات السابقة,5,2025-07-27 12:15:54
Abu talea,برنامج زي الزفت,1,2025-07-27 12:13:05
soaad rashad,فيه سواق مش محترم عاوزه اقدم فيه شكوي رسمي للشركه ياريت تتواصلوا معايا ضروري,1,2025-07-27 11:35:07
ramadanahmedr188 ramadanahmedr188,ممتازه جدا,5,2025-07-27 11:11:16
ali alshebeli,را ئعه,5,2025-07-27 10:59:16
Malek Ahmed,سي جدا وعدم احترام مواعيد وتقدير ناس وظروفها,1,2025-07-27 10:04:05
عادل عرفه,جيدة,5,2025-07-27 09:46:54
يحيى البركاوى,تجربه جميله جدأ,5,2025-07-27 09:41:27
محمد على,يعني علشان اروح مشوار ساعة زمن انتظر سعتين,1,2025-07-27 09:13:36
osama almansoury,ممتازين بصراحه ناس محترمه ....,5,2025-07-27 08:48:23
Mohammed S.K. Abdulh,ممتاز,4,2025-07-27 08:17:56
Mohamed Elgamal,اداء سي,3,2025-07-27 08:07:35
